layer,pos,target,n,auc
15,47,leaked_vs_not,270,0.6844565640825867
15,47,leaked_vs_approp,234,0.6767733184393201
15,47,refused_vs_rest,270,0.780389363722697
15,48,leaked_vs_not,270,0.6712671823696366
15,48,leaked_vs_approp,234,0.6263464453841858
15,48,refused_vs_rest,270,0.8358262108262108
15,49,leaked_vs_not,270,0.6832878846902999
15,49,leaked_vs_approp,234,0.6596186068778425
15,49,refused_vs_rest,270,0.7985517568850903
15,50,leaked_vs_not,270,0.7128387778952641
15,50,leaked_vs_approp,234,0.6947259235617969
15,50,refused_vs_rest,270,0.7713675213675213
15,51,leaked_vs_not,270,0.6677054927931437
15,51,leaked_vs_approp,234,0.6851512008298094
15,51,refused_vs_rest,270,0.7663817663817664
15,52,leaked_vs_not,270,0.7103344649117925
15,52,leaked_vs_approp,234,0.6584217665363441
15,52,refused_vs_rest,270,0.7640075973409307
15,53,leaked_vs_not,270,0.6809505259057266
15,53,leaked_vs_approp,234,0.6525173541849517
15,53,refused_vs_rest,270,0.7711301044634379
15,54,leaked_vs_not,270,0.6458344927374924
15,54,leaked_vs_approp,234,0.6409478975504669
15,54,refused_vs_rest,270,0.8545821462488129
15,55,leaked_vs_not,270,0.6468918693305137
15,55,leaked_vs_approp,234,0.663049549190138
15,55,refused_vs_rest,270,0.8189696106362774
15,56,leaked_vs_not,270,0.6833991874895653
15,56,leaked_vs_approp,234,0.733822708050746
15,56,refused_vs_rest,270,0.8194444444444445
15,57,leaked_vs_not,270,0.6433301797540207
15,57,leaked_vs_approp,234,0.6979972871618927
15,57,refused_vs_rest,270,0.8287037037037037
15,58,leaked_vs_not,270,0.6716567421670655
15,58,leaked_vs_approp,234,0.6988749700789915
15,58,refused_vs_rest,270,0.8315527065527065
15,59,leaked_vs_not,270,0.6689854749846958
15,59,leaked_vs_approp,234,0.6664007021463337
15,59,refused_vs_rest,270,0.7701804368471036
15,60,leaked_vs_not,270,0.6864600144693639
15,60,leaked_vs_approp,234,0.7066145376206813
15,60,refused_vs_rest,270,0.7613960113960114
15,61,leaked_vs_not,270,0.7228003784295175
15,61,leaked_vs_approp,234,0.6774914226442192
15,61,refused_vs_rest,270,0.7902421652421653
15,62,leaked_vs_not,270,0.732372419166342
15,62,leaked_vs_approp,234,0.7079709566743796
15,62,refused_vs_rest,270,0.8397435897435898
15,63,leaked_vs_not,270,0.7177361010629417
15,63,leaked_vs_approp,234,0.711561477698875
15,63,refused_vs_rest,270,0.8105413105413107
15,64,leaked_vs_not,270,0.6891869330513661
15,64,leaked_vs_approp,234,0.7113221096305754
15,64,refused_vs_rest,270,0.8259734093067427
20,0,leaked_vs_not,270,0.6865156658689966
20,0,leaked_vs_approp,234,0.6521981967605521
20,0,refused_vs_rest,270,0.8909069325735992
20,1,leaked_vs_not,270,0.6551282764761535
20,1,leaked_vs_approp,234,0.6097502593154074
20,1,refused_vs_rest,270,0.8863960113960114
20,2,leaked_vs_not,270,0.6664811620012243
20,2,leaked_vs_approp,234,0.6142184632570016
20,2,refused_vs_rest,270,0.842355175688509
20,3,leaked_vs_not,270,0.6188435639156326
20,3,leaked_vs_approp,234,0.5940317561637277
20,3,refused_vs_rest,270,0.8158831908831908
